Date,Text
2022-03-29,"1/2

Stockholm+50:  Kenya’s delegation to the Preparatory Meeting for #Stockholm50 was led by the @Environment_Ke CS Keriako Tobiko.  In his capacity as the Co-Chair of the Preparatory Meeting the CS emphasised the need to ensure complementarity between Stockholm+50 and UNEP@50"
2022-03-29,"PS Foreign Affairs Amb Macharia Kamau accompanied by Amb Kariuki Mugwe UAE, and Consular General Amb Peter Mwendwa, today visited the Kenya Pavillion staged at the Dubai World Expo 2022."
2022-03-29,"Foreign Affairs CS Amb Raychelle Omamo held bilateral talks with State Secretary for Foreign and European Affairs of Slovak Republic, Mrs Ingrid  Brochova. Amb Omamo appreciated continued Development Assistance provided through Slovak Aid to Kenya targeting social welfare."
2022-03-29,P.S @AmbMKamau together with @mutahikagwe_cs and other GOK officials participated in the 8th World Government Summit in Dubai. The Summit brings together world leaders and offers an opportunity for discussions around best practices and innovations for the future of humanity.
2022-03-28,"@Environment_Ke CS Keriako Tobiko today in New York, co-hosted the preparatory meeting for the Int'l meeting #Stockholm50 to be held in Stockholm, Sweden on 2 &amp; 3 June 2022 under the theme: a healthy planet for the prosperity of all - our responsibility, our opportunity.
@UN_PGA"
2022-03-27,2/2  Former President Kikwete appreciated H.E. President Uhuru Kenyatta's role in the GPE and asked for Kenya's continued engagement on education issues.
2022-03-27,"1/2  CS @ForeignOfficeKE Amb. Raychelle Omamo met with Former President Jakaya Kikwete, Chair of the Global Partnership for Education (GPE) Board of Directors on the margins of the @DohaForum in Qatar."
2022-03-27,"On the sidelines of the @DohaForum , @ForeignOfficeKE CS Amb. Raychelle Omamo met H.E. Sheikh Mohammed bin Abdulrahman Al Thani, the Deputy Prime Minister and Minister for Foreign Affairs of Qatar. #DohaForum"
2022-03-27,"3/3  CS Omamo said that Africa needed to focus on development issues like job creation, healthcare and education in order to deal with structural issues that often lead to conflict on the continent. #DohaForum"
2022-03-27,2/3  The CS was part of a panel discussion on the Economies of war where she emphasized that the COVID-19 crisis and the Ukraine crisis had highlighted the need for Africa to March towards self reliance in the supply chain in terms of health and food products. #DohaForum
2022-03-27,"1/3  CS @ForeignOfficeKE Amb. Raychelle Omamo travelled to Doha, Qatar to attend the Doha Forum 2022, held on 26th and 27th March 2022. #DohaForum"
2022-03-25,"""2022 UN Oceans Conference""

Submit your side event for the UN Ocean Conference.
Side events will be organized on the margins of the official meeting of the #UNOC (27 June -1 July)

Deadline for submission:
8 April 2022

@UNDESA
#SaveOurOcean

https://t.co/w79pT8B50d"
2022-03-24,"""2022 UN Oceans Conference""

Theme:  Scaling up oceans action based on science and innovations for the implementation of Goal 14: Stocktaking, partnership and solutions""
#saveourocean"
2022-03-24,"Kenya and Portugal will host the 2022 United Nations Conference scheduled for 27 June to 1 July 2022.

The #UNOC will bring together all stakeholders to discuss Ocean-based solutions and restore the ocean's health
#SaveOurOceans"
2022-03-21,"H.E Amb Xue Bing, Chinese Special Envoy paid a courtesy call on the CS   @ForeignOfficeKE Amb Raychelle Omamo. Press release..."
2022-03-21,"2/2 CS Omamo urged the Bank to continue  supporting green growth and prioritize on projects that connect markets and link landlocked countries to their regional neighbours, sea ports and one border posts to reduce border delays."
2022-03-21,"1/2  CS Amb. Raychelle Omamo met with Mrs. Nnenna Nwabufo, Director General, Africa Development Bank, East Africa Region who paid her a courtesy call and  briefed on the Bank activities in Kenya particularly the infrastructure projects its undertaking."
2022-03-21,2/2  The CS underscored that china is a key stakeholder in Africa's social-economic development and her initiative to support sustainable peace and security efforts in the Horn of Africa will immensely contribute in enhancing the region in achieving its economic potential.
2022-03-21,1/2  CS @ForeignOfficeKE Amb. Raychelle Omamo today held talks with the newly appointed Special Envoy of the People's Republic of China to the Horn of Africa H.E. Xue Bing.
2022-03-18,2/2  The PS welcomed China's move to appoint a special envoy to the horn of africa noting the initiative is timely as it will add impetus to the efforts by various partners to find lasting solutions to the peace and security threats in the horn of africa region.
2022-03-18,1/2 PS @AmbMKamau  held bilateral talks with Amb. Xue Bing newly appointed special envoy of the people's Republic of China to the Horn of Africa.
2022-03-18,"CS Amb Raychelle Omamo visited the historic Museum of Asia- African conference (Bandung Museum), where the principle and spirit of peaceful coexistence among Nations was bolstered after the cold war. The museum is a display of photographs of events underlying the 1955 conference."
2022-03-18,"Foreign Affairs CS Amb Raychelle Omamo witnessed the signing of  MOU by the VC Prof. Stephen Kiama for University of Nairobi and Universitas Padjabjaran on academic research and Collaboration.Also signed was MOU between UIN Syarif Hidayatulla, Jakarta and UMMA University, Kajiado"
2022-03-18,Amb Raychelle Omamo gave a lecture on Strengthening Kenya Indonesia Strategic Cooperation at the Padjabjaran University (UNAPAD) and called for enhanced cooperation and collaboration between Indo-Pacific region economic blocks and African Continental Free Trade Area.
2022-03-18,"CS Foreign Affairs Amb Raychelle Omamo today in Jarkata visited the historic museum of the Asia- Africa Conference (Bandung conference 1955), a permanent exhibition displaying photographs of the events, and where the principle of peaceful coexistence among nations was bolstered."
